Designator,Mid X,Mid Y,Layer,Rotation
REF**,37.500497,-146.00101,top,0
REF**,28.000997,-38.999998,top,0
REF**,156.499508,-58.998998,top,0
REF**,165.99902,-28.998998,top,0
REF**,37.500497,-41.000998,top,0
REF**,28.000997,-28.998998,top,0
REF**,28.000997,-31.499248,top,0
REF**,107.499502,-111.001001,top,0
REF**,75.001001,-84.500001,top,0
REF**,28.000997,-167.666845,top,0
REF**,49.499998,-93.999001,top,0
REF**,21.001497,-41.000998,top,0
REF**,169.664843,-163.999015,top,0
REF**,28.000997,-171.000512,top,0
REF**,109.499502,-41.000999,top,0
REF**,71.998998,-119.500003,top,0
REF**,98.500002,-146.001006,top,0
REF**,75.001001,-153.500006,top,0
REF**,118.999002,-48.499999,top,0
REF**,156.499508,-93.999002,top,0
REF**,133.500502,-111.001006,top,0
REF**,172.99851,-41.000998,top,0
REF**,60.499499,-58.998998,top,0
REF**,28.000997,-175.167595,top,0
REF**,145.500005,-93.999001,top,0
REF**,28.000998,-83.500001,top,0
REF**,165.999004,-86.500001,top,0
REF**,60.499499,-163.999009,top,0
REF**,28.000998,-51.499999,top,0
REF**,144.500005,-128.999004,top,0
REF**,133.500502,-163.999002,top,0
REF**,154.499508,-146.001003,top,0
REF**,106.499502,-146.001003,top,0
REF**,61.499499,-41.000999,top,0
REF**,62.499499,-76.001,top,0
REF**,167.99801,-163.999015,top,0
REF**,107.499502,-41.000999,top,0
REF**,60.499499,-76.001,top,0
REF**,132.500502,-163.999002,top,0
REF**,51.499998,-146.001006,top,0
REF**,62.499499,-41.000999,top,0
REF**,28.000997,-37.333164,top,0
REF**,19.334663,-41.000998,top,0
REF**,84.500501,-58.998999,top,0
REF**,87.500501,-93.999,top,0
REF**,133.500502,-93.999,top,0
REF**,97.500002,-111.001003,top,0
REF**,51.499998,-41.000999,top,0
REF**,22.66833,-163.999015,top,0
REF**,174.665343,-41.000998,top,0
REF**,21.001497,-163.999015,top,0
REF**,156.499508,-128.999006,top,0
REF**,25.16858,-41.000998,top,0
REF**,39.500497,-146.00101,top,0
REF**,22.66833,-41.000998,top,0
REF**,86.500501,-76.001002,top,0
REF**,37.500497,-111.001006,top,0
REF**,28.000998,-121.500003,top,0
REF**,75.001002,-156.500006,top,0
REF**,39.500497,-163.999002,top,0
REF**,97.500002,-41.000999,top,0
REF**,71.998998,-48.499999,top,0
REF**,37.500497,-128.999001,top,0
REF**,177.165593,-41.000998,top,0
REF**,153.499508,-41.000999,top,0
REF**,48.499998,-128.999003,top,0
REF**,60.499499,-111.001001,top,0
REF**,61.499499,-146.001002,top,0
REF**,165.99902,-169.333678,top,0
